csat_id,grade
1246267859088269312,0
1246268417363779584,0
1246269870011396096,0
1246270146057105408,3
1246270394314350592,0
1246272003811401728,0
1246272542849556480,0
1246273070497193984,3
1246274352276496384,3
1246274790840152064,0
1246275382262181888,0
1246276604695519232,0
1246277292110446592,0
1246277355595292672,0
1246277787884269568,3
1246277909592174592,0
1246278024708415488,0
1246278188491931648,0
1246278374580617216,3
1246278914205130752,0
1246279093946183680,3
1246279389862719488,0
1246279552433315840,0
1246280904787189760,3
1246281035858116608,0
1246281164547612672,0
1246281493165977600,1
1246281548582907904,3
1246281597186502656,0
1246281651301998592,0
1246281759199395840,0
1246281825719001088,0
1246281910005596160,0
1246281992022089728,3
1246282045425033216,0
1246282139857510400,0
1246282264035287040,0
1246282515919433728,0
1246282668524990464,0
1246282785790992384,0
1246282802383659008,0
1246282927066669056,0
1246282982644318208,3
1246283040791027712,0
1246283137669849088,3
1246283325642403840,0
1246283325648248832,2
1246283433687048192,0
1246283561621848064,0
1246283669892313088,3
1246283772350013440,3
1246283868113297408,0
1246283963033518080,0
1246284050654666752,0
1246284134326837248,1
1246284163421073408,3
1246284217379008512,3
1246284297269215232,3
1246284445226184704,0
1246284544698298368,0
1246284625939070976,3
1246284697263210496,3
1246284801133092864,0
1246284884702949376,0
1246284966843711488,0
1246285037775724544,2
1246285094819016704,1
1246285126021603328,0
1246285220439580672,0
1246285302396907520,3
1246285413237993472,2
1246285511128854528,3
1246285523407368192,0
1246285550169436160,1
1246285626968928256,0
1246285747455090688,2
1246285851800985600,1
1246285985921658880,3
1246286008415223808,3
1246286130605826048,0
1246286208089260032,3
1246286241086922752,0
1246287646625181696,0
1246288041714212864,3
1246288159162527744,3
1246288311544000512,3
1246288504815120384,0
1246289607014670336,0
1246290001751285760,3
1246290018597527552,1
1246290159269130240,0
1246290328577564672,0
1246290404340490240,0
1246290867125039104,0
1246291097175384064,0
1246291327925018624,0
1246291381954125824,0
1246291505138696192,0
1246291862061244416,0
1246292041035231232,0
1246292133002977280,3
1246293030898606080,1
1246294221185904640,2
1246294744467857408,3
1246294953236209664,0
1246295234139054080,3
1246295353228554240,0
1246295558258229248,3
1246295843971096576,2
1246295909238075392,0
1246296075705319424,2
1246296473398779904,0
1246297703441342464,2
1246297904249757696,0
1246297967471128576,2
1246298066183585792,0
1246298701178183680,0
1246298708016816128,3
1246298854045843456,0
1246299282167328768,3
1246299728586289152,0
1246300241555648512,0
1246300452155846656,3
1246300557139275776,3
1246300751263760384,3
1246300844853403648,0
1246300986275880960,0
1246301159720562688,0
1246301248687243264,0
1246301331935649792,0
1246301507244974080,0
1246302108109594624,0
1246302575237033984,0
1246302616991916032,0
1246302735253299200,1
1246302893217259520,0
1246303024977125376,0
1246303062603161600,2
1246303087031853056,3
1246303396697317376,0
