Timestamp,Title,Age,Citizenship,Rate your skills [Python],Rate your skills [Machine learning], What is your expectation from attending this class?,What is your best favorite category to purchase online?, What is your second favorite category to purchase online?, What is you third favorite category to purchase online?
7/2/2020 12:02:52,Mr.,17,Malaysia,Regularly use at work,Have used in a project,To learn the practical use of data science and machine learning,Food & Beverages,Video Games,Mobile & Gadgets
7/2/2020 12:37:23,Mr.,18,Vietnam,Have studied,Have studied,I expect to fully understand the materials related.,Video Games,Computers & Peripherals,Food & Beverages
7/2/2020 12:38:36,Mr.,18,Vietnam,Have studied,Have studied,I expect to fully understand the materials related.,Video Games,Computers & Peripherals,Food & Beverages
7/2/2020 12:46:11,Ms.,20,Singapore,Have studied,No Background,Gain better understanding in the use of pandas and numpy in python for data sci,Women's Apparel,Food & Beverages,Jewellery & Accessories
7/2/2020 13:04:24,Ms.,27,Indonesia,No Background,No Background,To learn data science.,Beauty & Personal Care,Computers & Peripherals,Mobile & Gadgets
7/2/2020 13:31:20,Mr.,19,Indonesia,Have studied,Have studied,"learn and gain experience
about python and machine learning",Computers & Peripherals,Mobile & Gadgets,Food & Beverages
7/2/2020 13:38:22,Mr.,20,Thailand,Have studied,No Background,I want to be able to use python more efficiently.,Video Games,Hobbies & Books,Food & Beverages
7/2/2020 14:07:32,Mr.,19,Indonesia,Have studied,No Background,Learning more about python for data science purposes,Video Games,Men's Wear,Food & Beverages
7/2/2020 14:40:25,Ms.,25,Taiwai,Have used in a project,No Background,How to use Numpy and Pandas,Jewellery & Accessories,Beauty & Personal Care,Food & Beverages
7/2/2020 15:08:30,Ms.,19,Singapore,No Background,No Background,learning new things about python,Women's Apparel,Hobbies & Books,Beauty & Personal Care
7/2/2020 15:55:23,Mr.,22,Singapore,Have studied,No Background,Learn about real world applications of python,Men's Wear,Mobile & Gadgets,Video Games
7/2/2020 16:34:15,Ms.,22,Malaysia,No Background,No Background,Learn something new,Mobile & Gadgets,Hobbies & Books,Women's Apparel
7/2/2020 16:37:15,Mr.,24,Singapore,"Have studied, Have used in a project",No Background,nil,Hobbies & Books,Mobile & Gadgets,Computers & Peripherals
7/2/2020 16:55:13,Ms.,20,Singapore,Have studied,No Background,Learn more about python!,Women's Apparel,Jewellery & Accessories,Hobbies & Books
7/2/2020 17:03:33,Mr.,21,Singapore,Have studied,No Background,To be able to apply on a basic foundation,Video Games,Food & Beverages,Mobile & Gadgets
7/2/2020 18:19:23,Mr.,22,Indonesia,"Have studied, Have used in a project","Have studied, Have used in a project",Getting to know better how to use pandas and numpy as efficient as possible,Beauty & Personal Care,Men's Wear,Video Games
7/2/2020 18:35:02,Mr.,18,Indonesia,Have studied,No Background,know more about python,Computers & Peripherals,Men's Wear,Video Games
7/2/2020 18:38:40,Mr.,16,Indonesia,Have studied,No Background,-,Hobbies & Books,Computers & Peripherals,Men's Wear
7/2/2020 18:38:40,Ms.,20,Singapore,Have studied,No Background,Understand numpy and pandas,Women's Apparel,Jewellery & Accessories,Beauty & Personal Care
7/2/2020 18:44:45,Mr.,25,Philippines,Have studied,No Background,How to use pandas and numpy for analyzing data,Food & Beverages,Computers & Peripherals,Video Games
7/2/2020 19:12:33,Ms.,20,Malaysia,No Background,No Background,learn more computer language,Women's Apparel,Beauty & Personal Care,Hobbies & Books
7/2/2020 19:23:51,Ms.,20,Malaysia,Have studied,Have studied,learning data science,Mobile & Gadgets,Hobbies & Books,Computers & Peripherals
7/2/2020 20:30:10,Mr.,20,Malaysia,No Background,No Background,to learn more about ML with python,Mobile & Gadgets,Computers & Peripherals,Video Games
7/2/2020 20:31:56,Ms.,20,Singapore,Have studied,No Background,learn more about numpy and pandas,Women's Apparel,Food & Beverages,Hobbies & Books
7/2/2020 20:39:39,Ms.,42,Singapore,No Background,No Background,Able to pick up python fast,Beauty & Personal Care,Computers & Peripherals,Food & Beverages
7/2/2020 20:46:23,Ms.,19,Thailand,Have studied,No Background,to continue studying from botnoi 1,Beauty & Personal Care,Hobbies & Books,Jewellery & Accessories
