Timestamp,Title,Age,Citizenship,Rate your skills [Python],Rate your skills [Machine learning],What is your expectation from attending this class?,What is your best favorite category to purchase online?,What is your second favorite category to purchase online?,What is you third favorite category to purchase online?
7/2/2020 17:24:35,Ms.,19,Indonesia,Have studied,No Background,Improving my knowledge in Python,Hobbies & Books,Food & Beverages,Women's Apparel
7/2/2020 18:15:29,Mr.,22,Indonesia,"Have studied, Have used in a project","Have studied, Have used in a project",getting to know more about machine learning advanced fundamentals,Beauty & Personal Care,Men's Wear,Video Games
7/2/2020 18:33:32,Mr.,18,Indonesia,Have studied,No Background,get to know more about python,Computers & Peripherals,Men's Wear,Video Games
7/2/2020 18:37:29,Ms.,20,Singapore,Have studied,No Background,Gain a better knowledge about looping after the class,Women's Apparel,Jewellery & Accessories,Beauty & Personal Care
7/2/2020 18:38:02,Mr.,16,Indonesia,Have studied,No Background,-,Hobbies & Books,Computers & Peripherals,Men's Wear
7/2/2020 18:41:31,Mr.,18,Indonesia,Have used in a project,Have studied,Know more about Python and ML,Hobbies & Books,Mobile & Gadgets,Food & Beverages
7/2/2020 18:42:51,Ms.,35,Thailand,Have studied,Have studied,N/A,Food & Beverages,Hobbies & Books,Mobile & Gadgets
7/2/2020 18:51:43,Ms.,20,Indonesia,"Have studied, Have used in a project","Have studied, Have used in a project",understand how to use loop and condition better in phyton,Hobbies & Books,Food & Beverages,Beauty & Personal Care
7/2/2020 19:02:39,Ms.,20,Malaysia,No Background,No Background,learn python in data science,Women's Apparel,Beauty & Personal Care,Food & Beverages
7/2/2020 19:16:08,Mr.,19,Malaysia,Have studied,No Background,Get more familiarized with Python writeups,Computers & Peripherals,Video Games,Mobile & Gadgets
7/2/2020 19:22:52,Ms.,20,Malaysia,Have studied,Have studied,learn data science using python,Mobile & Gadgets,Beauty & Personal Care,Food & Beverages
7/2/2020 20:22:29,Mr.,20,Malaysia,Have studied,No Background,Clear notes and teaching,Food & Beverages,Video Games,Men's Wear
7/2/2020 20:28:27,Mr.,20,Malaysia,No Background,No Background,learn the fundamentals,Mobile & Gadgets,Computers & Peripherals,Video Games
7/2/2020 20:30:01,Ms.,20,Singapore,Have studied,No Background,using python for data science,Women's Apparel,Food & Beverages,Hobbies & Books
7/2/2020 20:34:40,Ms.,42,Singapore,No Background,No Background,To be able to code using python in breeze.,Beauty & Personal Care,Computers & Peripherals,Food & Beverages
7/2/2020 20:43:43,Ms.,19,Thailand,Have studied,No Background,My expectation is to understand more about python and data science.,Beauty & Personal Care,Hobbies & Books,Jewellery & Accessories
7/2/2020 21:10:16,Ms.,21,Malaysia,Have studied,Have studied,Know more about Python,Beauty & Personal Care,Computers & Peripherals,Food & Beverages
7/2/2020 21:23:38,Mr.,21,Taiwai,Have used in a project,Have studied,More things about ML. More data processing knowledge is better.,Computers & Peripherals,Watches,Men's Wear
7/2/2020 21:24:44,Ms.,20,Singapore,Have studied,No Background,Easy to follow instructions and slides,Beauty & Personal Care,Hobbies & Books,Food & Beverages
7/2/2020 21:25:30,Ms.,20,Taiwai,Have studied,No Background,"Learn fundamentals of Python, and hope use these basics to prepare for the more  advanced courses",Hobbies & Books,Women's Apparel,Beauty & Personal Care
7/2/2020 21:38:10,Mr.,23,Singapore,Have studied,No Background,Learn more about data science,Computers & Peripherals,Mobile & Gadgets,Mobile & Gadgets
7/2/2020 22:03:32,Ms.,23,China,No Background,No Background,learn some basics about Python,Beauty & Personal Care,Women's Apparel,Food & Beverages
7/2/2020 22:24:20,Mr.,33,Taiwan,Have used in a project,Have studied,learn how to detect human in photo,Beauty & Personal Care,Beauty & Personal Care,Beauty & Personal Care
